"id","overall","likes","dislikes"
"32","Je possède une peau atopique agrémentée d'eczéma (etc...) et bien évidemment je possède des cheveux très secs.  Ce shampoing est l'un des rares produits que j'ai pu utiliser dans ma vie qui ne m'a pas lassé mes cheveux tout secs après le lavage. C'est un vrai miracle pour moi, et il ne quitte plus ma baignoire. Je le complète (pas à tout les lavages) par l'après shampoing, le masque et le petit soin pour longueurs et pointes. Et mes cheveux restent doux jusqu'au prochain lavage. C'est vraiment le produit que je cherchais depuis bien longtemps, pour guérir mes cheveux malades !  (Je conçois que le coût d'achat de toute la gamme peut vite s'élevé mais on peut trouver ces produits dans d'autre magasins que les grandes surfaces habituelles telles que Lidl, Noz ou même Action ! Alors, petit pouce vert également pour cette marque spéciale petit budget qui en plus se trouve dans des magasins ""discount""). ","- L'odeur est très agréable et la mousse très onctueuse. - Le produit rend les cheveux très doux. - L'odeur reste, pour ma part, plus de deux jours sur les cheveux.",""
"33","Niveau qualité prix je trouve qu'il est très bien","L'odeur","La présentation"
"34","","bon petit shampoing basique pour cheveux secs","il faut laver les cheveux souvent"
"35","","odeur ","ne demele pas du tout fait des noeuds dans les cheveux aucune hydratation"
"36","J'aime changer régulièrement de produits lavant pour mes cheveux. J'ai découvert récemment ce produit que je trouve très agréable surtout pour un petit prix. Je l'utilise aussi pour laver les cheveux de mes enfants de 6 8 et 10 ans","Efficace sur cheveux normaux à sec Cheveux brillants Oduer agréable Peu cher",""
"37","","Lave bien ","Efficace euh? En hydratation nn!"
"38","Bon produit rend les cheveux brillant, souples et doux avec une utilisation facil","",""
"39","","-produit très agréable à utiliser -laisse les cheveux doux et démêlés  -petit prix ",""
"40","","","Il faut se laver les cheveux tous les jours, peu efficace"
"41","J'ai les cheveux fins et secs pour ma part. Bon petit produit.","- sans silicone - lave, mousse et se rince bien - nourrit légèrement le cheveu - contient de l'huile d'argan et de karité qui sont bénéfiques pour le cheveu - laisse les cheveux brillant et assez doux",""
"42","Mon champoing de base excellent","odeur très agreable et resultats positifs","la prise en main du flacon n'est pas optimale soius la douche"
"43","Dans l'ensemble, bon shampoing. Je rachèterai.","- démêle les cheveux - parfum agréable - dessine les boucles","je n'ai pas vu le côté nourrissant"
"44","","Son odeur j'adore, on part en vacance le temps d'une douche cheveux plus doux son petit prix","je n'en vois pas"
"45","j'ai utilisé ce shampooing car il est indiqué pour ""cheveux très secs , cheveux frisés"" j'ai été très déçue. Il n'est pas nourrissant et il a rendu les cheveux encore plus secs . Je ne le recommande pour pas pour cheveux secs et frisés mais plutôt pour cheveux normaux.","",""
"46","","Odeur top","Peut graisser un peu les cheveux..."
"47","tres bon produit comme tous ceux a mon avis de cette marque","tres bonne odeur pas de trop de mousse facile a rincer il nourrit le cheveu",""
"48","Très bon rapport qualité prix pour les cheveux secs et dévitalisés, leur donne un coup de boost.","",""
"49","ok","good for dry hair","not for long time because hair gets gressy"
"50","","Odeur très agréable, produit facile à appliquer, mousse bien, facile à rincer.  Les cheveux sont souples et brillants, ils sont bien nourris, ils s'abîment moins sur le long terme.","Il faut alterner de temps en temps car le cheveu s'habitue à ce produit qui perd alors en efficacité. "
"51","","efficace n'alourdit pas les cheveux",""
"52","Comme quoi il ne faut pas se fier aux descriptions!","Il sent bon Lors du rinçage, ça crisse tout de suite, je pense que c'est signe qu'il se rince très vite","Ayant les cheveux type maghrébin (épais, secs de nature et boucles limite frisés) je pensais que ce produit serait adapté et je me suis retrouvée avec des frisottis indomptables et des cheveux de plus en plus secs, une horreur!"
"53","","Se rince bien et laisse les cheveux doux",""
"54","","cheveux brillants à court terme, lavage agréable","n'est pas adapté pour les cheveux à racines grasses et pointes sèches (meme très seches) car graisse les racines"
"55","Produit laissant les cheveux doux, démêlés et avec une odeur très agréable.","",""
"56","","Rend les cheveux doux après le shampooing.  Le prix. Sent bon.","Mettre absolument un après shampoing après utiliser ce produit sinon les cheveux s'emmêlent  facilement."
"57","","Shampooing qui ne dessèche pas les cheveux et qui élimine les frisotis, il rend les cheveux doux et facile à coiffer","Les cheveux regraissent vite"
"58","","Il me rend les cheveux doux",""
"59","J'adore ce shampooing, j'ai les cheveux très secs et frisés. Il répond à mes attentes et facilite mon brushing !","Une bonne odeur  Mousse beaucoup  Lave bien les cheveux  Les rend doux, plus facile à coiffer et soyeux ","Aucun"
"60","Très bon shampoing. Excellente rapport qualité / prix.  Par contre après shampoing ou masque obligatoire car le shampoing à lui tout seul ne nourrit pas.","- sans silicone - petit prix - odeur très agréable - texture huile - mousse beaucoup - ne graisse pas les cheveux - ne les dessèche pas - se rince rapidement - apporte plus de brillance","- ouverture difficile et fragile - ""nutrition intense"": faux (normal car c'est un shampoing et non un masque)"
"61","bon shampoing hydratant mais pouvoir nourissant qui me semble faible pour les cheveux secs - convient et ans doute embellit les cheveux normaux deja en pleine forme ! ","odeur , texture -prix correct","n agit pas ou que tres peu sur le long terme -me laisse malgre tout les cheveux un peu rreche - je trouve que "" nutrition intense "" ne s applique pas "
"62","je pense qu il existe cependant des produits plus efficaces...mais plus chers  ","un bon rapport qualité prix",""
"63","personnellement je le couple avant un bain de l'huile avant shampooing de la même marque, que je laisse poser au moins deux bonnes heures l'ensemble se rince très bien, me laisse le cheveu soyeux et qui reste propre pendant au moins quatre jours: les racines ne sont pas graissées par le shampooing avant ce doublé, j'utilisais un shampooing pour cheveux déshydratés d'une marque de coiffeur mais qui a été discontinué depuis: j'ai trouvé cet ensemble pour le remplacer, et je le garde dans mes indispensables à petits prix.","-son odeur, sa texture - il soigne mes cheveux longs, très secs et épais, sans les dessécher davantage -son prix","-seul, il est peut être insuffisant: il faut le coupler avec un avant ou après shampooing"
"64","C est un super shampooing qui est bien présenté efficace et pas trop cher c est vraiment un super produit Tout ce que je reproche c est qu' après le shampooing les cheveux sont très emmêlé j'ai les cheveux long donc pas vraiment un défaut ","Son odeur  Belle bouteille jolie couleur qui donne envie d essayer Il est facile a rincer  Il fait du bien au cheveux ","Qu'il emmêle beaucoup les cheveux "
"65","Je recommande pour cheveux très très secs","Efficace ! Les cheveux sont hydratés","Mes cheveux graissent plus vite..."
"66","je pense qu'il y a mieux...","très bonne odeur, mousse bien, cheveux doux","pas d'efficacité sur le long terme, les cheveux redeviennent vite secs, et il alourdit les cheveux"
"67","très deçu autant le masque de la meme gamme est très bien mais le shampoing ne tient absolument pas ses promesses","beau packaging mousse bien  bon pouvoir lavant et se rince facilement","très deçu car le nourri absolument pas pour un shampoing se disant ""nutrition intense"" au contraire il fait crisser les cheveux signe pour moi que le shampoing n'est pas nourissant il emmele enormement les cheveux"
"68","Il sent bon, lave bien, se rince facilement et ne dessèche pas mes cheveux secs. Un après shampoing ou un masque est nécessaire après pour nourri et démêler mes cheveux secs et frisés/bouclés , mais c'est un très bon produit malgrès sa composition pas très clean : Je recommande :) ","Lave bien  Ne désêche pas les cheveux Prix et Odeur","Composition"
"69","après shampoing nécessaire, je le trouve asséchant après plusieurs utilisations","odeur le prix","pas assez nourrissant comosition"
"70","Je viens de découvrir ce produit j en suis ravie Certains shampoings m'irrite t le cuir chevelu et me donne des pellicules celui là été tout l'inverse. J'ai même acheté l'après shampoing pour le coup","Mousse bien Se rince bien Une odeur qui fait voyager","Aucun"
"71","Je rachète sans aucun doute","Texture fluide, l'odeur est a tombé reste deux jours.",""
"72","","l'odeur, il sent tellement bon !",""
"73","","Bon produit pour toute la famille nourrit le cheveux produits avec un prix correct ",""
"74","Très bon produit à court et long terme je l'utilise avec l'après shampoing et un autre produit l'huile merveilleuse de chez garnier mes cheveux sont beaucoup moins abimé grâces à c'est trois produits je les recommande fortement !","",""
"75","Un shampoing que je rachète sans arrêt car c'est un véritable coup de coeur. J'ai les cheveux très secs et frisés, et depuis que j'utilise la gamme je constate une amélioration sur mes cheveux. Mes boucles sont plus jolies, définies, moins de pointes abîmées. Un produit que je rachète sans hésiter","L'odeur  L'efficacité  Le prix ","L'odeur qui ne reste pas sur les cheveux "
"76","Un bon shampooing au prix pas trop excessif, très très bonne odeur qui ne reste malheureusement sur mes cheveux. Je compte racheter vu l'odeur vraiment très agréable, j'aimerais également prendre l'huile avant shampooing karité argan qui me fait de l'il!","Une odeur à tomber, on en mangerait.. Redessine les boucles  Pas agressif, mousse fine Lave Sensation de fraîcheur, de propre quoi.","L'odeur ne reste malheureusement pas! c'est vraiment dommage qu'elle ne soit pas plus forte j'aime quand ça tient sur les cheveux! Pas d'effet nourrissant particulier mais pour moi un shampooing n'est de base déjà pas nourrissant.. ça lave quoi! Texture beaucoup trop liquide!!!!! dommage"
"77","Un schampooing pour les cheveux sec et abîmée  Il tiens pas trop ces promesses je trouve que c'est trop de différence peut être les cheveux doux et mieux pour les peignées qu'avant pas plus ! Vu le petit prix je lui pardonne ","Le prix ",""
"78","","odeur pouvoir nutritif, bel effet sur la chevelure plus facile a coiffer",""
"79","Je rachèterai","-Sent très bon -Rend les cheveux doux -Bon rapport qualité prix","Ras"
"80","Excellent rapport qualité prix. je le rachète régulièrement.","Pour les cheveux colorés et très secs : il est excellent ! tout de suite il démêle et nourrit , après le shampoing , l'effet dure encore ; à utiliser en duo avec le masque de la même marque ; de toute façon , ce n'est pas ruineux.","je n'en vois pas"
"81","excellent shampoing, sent bon et efficace sur cheveux secs hydrate bien","lave bien sent super bon démele et fait les cheveux tout doux l odeur reste une fois les cheveux secs tout petit prix ","aucun"
"82","J'ai beaucoup aimé ce shampooing au début mais sur le long terme il rendait mes cheveux difficiles à démêler et les asséchait encore plus, c'est dommage parce que j'adore l'odeur en plus ! ","- Odeur - Mousse très facilement - Nettoie et se rince bien - Fait briller","- Pas assez nourrissant pour les cheveux vraiment secs"
"83","Rend les cheveux très doux et les cheveux sont plus léger et son parfum j'adore ","Son parfum","Aucun"
"84","Shampoing agréable à utiliser mais pas dans le long terme. Je le trouve un peu limite lorsqu'on a les cheveux très secs. Il faut un démaillant après, néanmoins c'est un excellent rapport qualité/prix pour toute la famille"," odeur très agréable - nettoie bien les cheveux - très peu de shampoing suffit - fait briller les cheveux -","pas assez riche pour les cheveux très secs"
"85","excellent produit, très bonne odeur et rapport qualité prix excellent","",""
"86","Je ne rachèterais surtout pas. Le but est de nourrir mes cheveux secs et non pas de les assécher encore plus.","Texture agréable. Pas besoin d'en mettre beaucoup.","Rend mes cheveux encore plus secs! Je les démêlent très difficilement."
"87","Avis très mitigé.","Bonne odeur, mousse très bien.","Ce shampoing rend mes cheveux secs et les abime sur le long terme ce qui est censé ne pas arriver. L'odeur ne reste pas assez longtemps a mon goûts. "
"88","je l'utilise depuis plusieurs fois, et pas déçue","parfum sublime, mousse très bien, sensation de cheveux souples au lavage et rinçage","j en voit pas"
"89","J'utilise en complément de l'après shampooing et du masque mais ces produits ont tendance à graisser mes cheveux rapidement. Dommage car l'odeur est vraiment super.","Odeur très agréable Mousse bien",""
"90","je le recommande","odeur très agréable et rend les cheveux doux","aucun"
"91","Un bon shampoing riche et doux","Joli flacon  Ce shampoing sent très bon, une odeur de vacances Il mousse bien, lave bien les cheveux qui sont alors très doux Se rince facilement","Aucun"
"92","","son odeur et rent les cheveux lisse",""
"93","","Très bon shampoing de la gamme le petit marseillais qui rend des cheveux vraiment très beaux et soyeux , une très belle senteur en prime .",""
"94","j'aime beaucoup les produits le petit marseillais qui ne m'ont jamais décue , ce shampoing est très très bien ","très bon produit qui nourrit bien les cheveux et les rend beaux","aucun point faible"
"95","j adore ce shampoing qui a en plus un bon rapport qualité prix","excellent shampoing qui prend bien soin des cheveux, sent bon , nourrit bien les cheveux","aucun"
"96","Excellent rapport qualité prix, j'en suis à ma troisième bouteille Je l'utilise soit avec un spray sans rinçage soit avec le masque de la même gamme (l'après shampooing est moins bien)","Odeur agréable Lave très bien, avec une mousse assez importante N'abîme pas les cheveux Respecte les boucles","Il n'y en a pas pour moi"
"97","Shampooing efficace","Parfum très agréable","Aucun"
"98","exellent rapport qualité /prix pour 3 euros il vaut des shampooings de grandes marques "," lave et se rince bien laisse les cheveux souples sans silicone ","r.a.s"
"99","","Les cheveux sont beaucoup beaucoup plus doux et les boucles sont mieux redessinées et plus souples. Il sent très bon et l'odeur reste sur les cheveux. ",""
"100","Un shampoing doux, à utiliser quotidiennement, à l'agréable odeur.","Odeur agréable, shampoing qui nourrit les cheveux, même bouclés","Eventuellement la rinçabilité "
"101","","- odeur - Mousse bien - prix ","Nécessite l'usage d'un soin après-shampoing sinon les cheveux sont difficiles à démêler."
"102","Un coup de coeur vraiment un miracle pour mes cheveux meme sans utiliser l'apres schampoing il fonctionne vraiment jadore !","Cheveux incroyablement doux Odeur fantastique","Aucun"
"103","J'ai les cheveux très secs et je suis très satisfaite de ce shampooing.","bon shampooing, les cheveux se coiffent facilement, ils sont doux l'odeur est très agréable.","aucun"
"104","Agréable à utiliser mais il nourrit à peine mes cheveux secs. Il faut utiliser un après-shampooing ou un soin. ","J'adore son odeur et sa mousse..",""
"105","Très bon shampoing, à alterner cependant avec un autre, pour que le cheveu ne s'habitue pas. ","Très bonne odeur et bonne réparation du cheveu à court terme.","perd de son efficacité si utilisation fréquente. "
"106","","Hydrate correctement les cheveux. Defini legerement les boucles des cheveux ondulés. ",""
"107","après les Cheveux sont difficile à coiffer. ...","l'odeur","le rinçage "
"108","","nourrir les cheveux",""
"109","Je l'avais acheté pour dépanner, je ne le referai pas! Pourtant j'aime bien l'après shampooing de la même gamme. ","Quelques extrait naturels, pas de silicone ni de paraben. J'aime la bouteille et sa jolie couleur, prise en main pratique avec une sorte de grip sur le côté pour bien attraper le produit.","Ce shampooing n'a pas du tout réussi à mon cuir chevelu légèrement sensible. Mes cheveux regraissent vitesse grand V et j'ai des démangeaisons :( Composition peu naturelle au final, présence de sulfates, de parfum."
"110","Très bon produit que je complète avec l'huile et l'après shampoing de la même gamme.","Bonne odeur. Lave bien. Mes cheveux sentent bon. Produit adapté a la texture de mes cheveux..(crépus)",""
"111","","il sent bon l'été, lave très bien les cheveux, se rince très facilement, mes cheveux me semblent plus forts, ils ont bien résistés à mes 2 semaines de vacances, au soleil, au sel, au chlore et aux 2 shampoings quotidiens !","cela n'hydrate pas non plus énormément, la texture huile n'aide pas à avoir des cheveux doux ... "
"112","bon rapport qualité prix","premier shampooing que j'utilise et qui démêle presque mes cheveux frisés laisse un parfum agréable sans paraben et sans silicone","bouchon un peu fragile"
"113","C'est un shampoing que j'utilise depuis longtemps et il est toujours aussi efficace il redonne vie a vos cheveux "," efficacité ",""
"114","je les jeter pas le courage. de le terminer","rien","rend.les cheveux SEC!!!!!!!""! impossible a demeler une.horreur "
"115","","j'ai des cheveux très frisés, ils sont tous doux et beaucoup moins secs.",""
"116","Pas mal en cas de dépannage, je le rachèterai","Sans paraben et sans silicone ! N'emmêle pas les cheveux L'odeur Le prix","Karité à la 10 eme position et Argan à la 6 ème donc y en a vraiment peu"
"117","Pour avoir la nutrition promise il faut utilisé toute la gamme.","- Ne décape pas les cheveux  - Odeur agréable au lavage ","-Odeur qui ne tient pas après rinçage  - La nutrition n'est pas présente  "
"118","","composition sans silicone bonne odeur",""
"119","Mes cheveux très très sec retrouve petit à petit souplesse et douceur ","","Au debut une impression de cheveux gras au début ."
"120","associé au soins après shampoing efficacité cheveux très doux ! ","tres bon produit odeur agréable ",""
"121","j adore cette odeur et cette douceur pour les cheveux","les cheveux retrouvent leur souplesse",""
"122","J'achète toute la gamme. Satisfaite. ","Shampooing parfait. Bonne odeur, facile à appliquer. Et à rincer. ","Peut-être juste l'ouverture sous la douche avec les mains mouillées, un peu compliqué. "
"123","C'est un bon shampoing dans l'ensemble sans plus,une hydratation correcte,je continue de chercher mieux.","-Hydrate les cheveux. -Bonne odeur. -Composition sans parabène sans silicone.","-Flacon difficile à ouvrir,son ouverture n'est pas pratique. -L'odeur très peu présente sur les cheveux. -Il ne démêle pas vraiment les cheveux très secs et frisés. -Je ne vois pas de côté nutritif dans ce produit."
"124","je ne le rachèterai pas ","lave parfaitement les cheveux, crissent sous les doigts après rinçage ","cheveux difficile à démêler, la nutrition n'est pas au RDV"
"125","","A court terme il rempli parfaitement son travail","a long terme, les effets diminuent"
"126","Je le conseille mais il faudrais acheter la game complete. ","L'odeur juste excellente qui reste sur les cheveux même 3 jours sans les avoirs relavés, niveau qualité effectivement il est pas mal juste qu'il doit être accompagner de son masque nutrition. Les deux huiles qui sont d'une qualitée excellente parfait pour les cheveux longs frisé et épais (qui est mon cas)","Assèche un peux les cheveux (type frisé et épais) "
"127","","Sent bon.","Rend mes cheveux très secs ! "
"128","Je rachete ce produit souvent","L'odeur Hydrate bien les cheveux Mousse bien",""
"129","sur des cheveux normaux possibles qu il soit efficace mais sur moi c est une catastrophe","juste l odeur","asseche enormement mes cheveux qui sont à l origine abimés"
"130","si vous avez les cheveux vraiments secs frisés ou crépus je vous conseille de l'utiliser que pour clarifier vos cheveux,1 fois par mois je l'ai utilisé deux semaines de suite et il m'a fallu du temps pour retrouver un état normal d'hydratation (cheveux 3c)","Shampoing CLARIFIANT","laisse les cheveux propres mais rêches et très secs,"
"131","","L'odeur est très agréable, toucher soyeux sur cheveux secs (mon cas), beaux reflets sur cheveux châtains colorés.","L'ouverture un peu costaud quand doigts mouillés"
"132","","L'odeur que j'adore et qui tiens tres longtemps, je passe mes journée a me sentir mes cheveux tellement qui sentent bon l'argan, rends mon cheveux plus fort ",""
"133","","Il sent super bon! Les cheveux sont doux et brillants, sans perdre de volume","Pas si démêlant "
"134","","Odeur à tomber par terre, ça sent les vacances. Super hydratation des cheveux","Un peu difficile à rincer"
"135","Je n'ai pas été convaincue par ce shampooing, résultat décevant sur mes cheveux","- Bonne odeur, bien qu'elle peut être lassante à force - Packaging transparent pratique pour savoir ce qu'il reste de produit - Présence d'huile d'argan et de karité mais..","- Il m'aplatit les cheveux : pas de sensation de légèreté mais cheveux lourds à long terme, pas brillants et même ternes...Peut-être trop nourrissant pourtant d'autres shampooings pour cheveux secs avec du karité me conviennent très bien - Rend les cheveux gras plus rapidement  - Ne mousse pas très bien, on a tendance à en mettre trop"
"136","a utiliser de préférence avec le soins","mélange des deux huiles, fonctionne vrmt  hydrate bien les cheveux donne de belles boucles","texture pas assez moussant"
"137","efficace agréable c'est un bon produit","sent tellement bon lave bien se rince bien sans laisser les cheveux poisseux son prix est mini",""
"138","Dommage que le parfum ne reste pas sur les cheveux une fois rincés. Je ne rachète pas.","- L'odeur / le parfum","- N'a fait aucun effet sur mes cheveux sec"
"139","tres contente d'avoir trouvé ce shampooing car j'aime beaucoup la douceur qu'ont mes cheveux maintenant. Ils sont lissés mais pas lourds, si on rince bien.","vraiment tre bien pour les cheveux secs","faut bien rincer"
"140","il n'est pas cher sent bon lave très bien et laisse les cheveux magnifiques. a adopter absolument","mes cheveux sont doux et soyeux c'est magnifique",""
"141","","Une odeur délicieuse Texture agréable","Hydratation insuffisante Rend les cheveux crissants..."
"142","","-bonne odeur - petit prix","-texture gel -pas assez nourissant"
"143","Odeur à tomber ! Prends vraiment soin des cheveux abîmés et secs. Assouplit les cheveux et les rend très brillant plein de santé !","Adoucit, fait briller et mes cheveux sont plus souples, moins lourds.","J'ai la sensation qu'il m'aplatit les cheveux un petit peu."
"144","","Son odeur que j'adore",""
"145","","nourris les cheveux l'odeur  la texture  ne coule pas sur les yeux  ","J'en vois aucun !! "
"146","C'est un très bon shampoing, très agréable à utiliser, il fait bien son travail pour un petit prix! Je recommande!","-sent tellement bon -démêle bien les cheveux -hydrate assez bien -texture agréable","-je n'en vois pas "
"147","adore donne la forme a mes cheveux  plus doux, brillant, vif  contente !!!","mes cheveux sont moins sec, moins terne, doux et brillant ","prix"
"148","","tres bon parfum, doux apres le lavage",""
"149","Ce shampoing est super !","Laisse les cheveux doux et soyeux , à accompagner avec l'après shampoing .","Laisse parfois les cheveux gras. "
"150","Ce produit est divin,il définit bien les boucles et laisse une odeur tres agreable. ","Il sent bon,il mousse bien,et ne laisse aucune impression de sec lors du rinçage,il rend les cheveux doux et soyeux. ",""
"151","Recommande ","L'odeur , on sent bien l'huile d'argan et j'adore  Hydrate , quand je lave mes cheveux je sens bien l'huile entre les doigts ! Se rince bien et mes cheveux sont doux et brillant ","aucun"
"152","j'adore le petit marseillais il ont une gamme pour tout type de cheveux.celui ci a l'huile d'argan rend le cheveu beau doux et brillant, facile a rincer.","nourri ,hydrate le cheveux et le rend doux","aucun je crois"
"153","Efficace et agréable, bon rapport qualité prix","",""
"154","Je l'adore etje n'est pas envie de changer","Je l'utilise depuis plusieurs mois car c'est un shampoing qui sent bon qui est doux qui se rince bien et qui laisse le cheveux tres agréable aux toucher. 2 fois par semaine j'associe huile d'argan petit marseillais. Le top","Je n'en vois pas pour l'instant c'est mon préféré"
"155","Très bon shampoing pas cher. ","Il rend les cheveux brillants et doux. Pratique pour toute la famille. Sent très bon.",""
"156","bon shampoing a racheter sans problème ","odeur  se rince facilement  les cheveux sont propre et doux assez bien hydrater .  LE PRIX mousse bien ",""
"157","Au final, très bon shampooing, très efficace à un prix très peu élevé. Il a quasi le même résultat que les shampooings cinq fois plus chers !","- Très bonne odeur  - Mousse très vite - Hydrate bien les cheveux - N'emmêle pas les cheveux - Ne graisse pas les cheveux","- Aucun"
"158","Le rapport qualité prix est vraiment intéressant et il hydrate bien, couplé à l'aprés-schampooing, c'est parfait!","Il lave bien et se rince facilement. Il sent bon et hydrate vraiment bien.","Aucun"
"159","A long terme, mes cheveux régressent trop vite.","Rend les cheveux doux.",""
"160","J'ai trouver le shampoing qu'il me falai j'utilise la gamme complete et mes cheveu son plus doux plus facile a coiffer il n'y a rien a dire ","L'odeur Se rince bien n'agresse pas mes cheveu et les rend doux après utilisation ","Aucun"
"161","","bon produit qui a un bon pouvoir lavant",""
"162","","efficace sur les cheveux bouclés",""
"163","","L'odeur est vraiment top, et la texture aussi ","J'ai pas trop constaté l'efficacité"
"164","bon produit, je l'utilise quotidiennement ","j' adore l'odeur, lave correctement les cheveux et les laisse doux","pas efficace contre les pellicules"
"165","Un shampoing doux et très efficace contre le gras. Les cheveux sont doux et brillants.","doux sur les cheveux et rend les cheveux propres et saints","parfum un peu fort"
"166","J'adore!","J'adore l'odeur, elle me rappelle celle du monoi Lave bien les cheveux Se rince facilement Laisse les cheveux trèès doux","Le bouchon un peu difficile à ouvrir"
"167","N'a pas trop d'effet ni positif ni négatif sur mes cheveux mise à part les laver (pas plus doux ni moins sec qu'avec un autre shampoing)","",""
"168","je ne rachèterai pas ce shampoing","bonne odeur ","pleins de produits chimiques"
"169","","il sent super bon !!!!! un vrai bon moment ","au debut j'avais un tres bon avis sur ce produi mais apres plusieurs utilisation la cata ... les cheveux super gras et tres tres secs sur les pointes pires qu'avant le soin vraiment dommage !!!!"
"170","","j'adore l'odeur du produit",""
"171","","Sent bon.","Je n'ai pas l'impression d'avoir les cheveux propres au final."
"172","je pense qu' il faut avoir les cheveux vraiment très très sec pour l'utiliser ! j'ai les cheveux secs mais après chaque utilisation, mes cheveux sont très gras, comme mal rincés ! ","odeur",""
"173","","j'ai utilisé ce shampooing en complément de l'elixir et mes cheveux sont beaucoup moins secs depuis.",""
